Format Version,1.23,Take Name,group6_trial_002,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-07-24 04.17.24.871 PM,Total Frames in Take,1827,Total Exported Frames,1827,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,right_reflector,right_reflector,right_reflector,right_reflector,right_reflector,right_reflector,right_reflector,Unlabeled 1858,Unlabeled 1858,Unlabeled 1858,Unlabeled 1859,Unlabeled 1859,Unlabeled 1859,Unlabeled 1860,Unlabeled 1860,Unlabeled 1860,Unlabeled 1863,Unlabeled 1863,Unlabeled 1863,Unlabeled 1865,Unlabeled 1865,Unlabeled 1865,Unlabeled 1866,Unlabeled 1866,Unlabeled 1866,Unlabeled 1867,Unlabeled 1867,Unlabeled 1867,Unlabeled 1868,Unlabeled 1868,Unlabeled 1868,Unlabeled 1869,Unlabeled 1869,Unlabeled 1869,Unlabeled 1870,Unlabeled 1870,Unlabeled 1870,Unlabeled 1871,Unlabeled 1871,Unlabeled 1871,Unlabeled 1872,Unlabeled 1872,Unlabeled 1872,Unlabeled 1874,Unlabeled 1874,Unlabeled 1874,Unlabeled 1875,Unlabeled 1875,Unlabeled 1875,Unlabeled 1876,Unlabeled 1876,Unlabeled 1876,Unlabeled 1877,Unlabeled 1877,Unlabeled 1877,Unlabeled 1880,Unlabeled 1880,Unlabeled 1880,Unlabeled 1881,Unlabeled 1881,Unlabeled 1881,Unlabeled 1883,Unlabeled 1883,Unlabeled 1883,Unlabeled 1884,Unlabeled 1884,Unlabeled 1884,Unlabeled 1887,Unlabeled 1887,Unlabeled 1887,Unlabeled 1888,Unlabeled 1888,Unlabeled 1888,Unlabeled 1889,Unlabeled 1889,Unlabeled 1889,Unlabeled 1891,Unlabeled 1891,Unlabeled 1891,Unlabeled 1893,Unlabeled 1893,Unlabeled 1893,Unlabeled 1895,Unlabeled 1895,Unlabeled 1895,Unlabeled 1896,Unlabeled 1896,Unlabeled 1896,Unlabeled 1897,Unlabeled 1897,Unlabeled 1897,Unlabeled 1898,Unlabeled 1898,Unlabeled 1898,Unlabeled 1901,Unlabeled 1901,Unlabeled 1901,Unlabeled 1902,Unlabeled 1902,Unlabeled 1902,Unlabeled 1903,Unlabeled 1903,Unlabeled 1903,Unlabeled 1905,Unlabeled 1905,Unlabeled 1905,Unlabeled 1906,Unlabeled 1906,Unlabeled 1906,Unlabeled 1907,Unlabeled 1907,Unlabeled 1907,Unlabeled 1908,Unlabeled 1908,Unlabeled 1908,Unlabeled 1909,Unlabeled 1909,Unlabeled 1909,Unlabeled 1911,Unlabeled 1911,Unlabeled 1911,Unlabeled 1914,Unlabeled 1914,Unlabeled 1914,Unlabeled 1915,Unlabeled 1915,Unlabeled 1915,Unlabeled 1917,Unlabeled 1917,Unlabeled 1917,Unlabeled 1918,Unlabeled 1918,Unlabeled 1918,right_reflector:Marker1,right_reflector:Marker1,right_reflector:Marker1,right_reflector:Marker2,right_reflector:Marker2,right_reflector:Marker2,right_reflector:Marker3,right_reflector:Marker3,right_reflector:Marker3
,ID,"9728351BAE4F11E97C158CA05683D95","9728351BAE4F11E97C158CA05683D95","9728351BAE4F11E97C158CA05683D95","9728351BAE4F11E97C158CA05683D95","9728351BAE4F11E97C158CA05683D95","9728351BAE4F11E97C158CA05683D95","9728351BAE4F11E97C158CA05683D95","10DEB0","10DEB0","10DEB0","10F310","10F310","10F310","10F370","10F370","10F370","10F340","10F340","10F340","10F3A0","10F3A0","10F3A0","10F3C0","10F3C0","10F3C0","10F3D0","10F3D0","10F3D0","10F3B0","10F3B0","10F3B0","10F3F0","10F3F0","10F3F0","10F400","10F400","10F400","10F3E0","10F3E0","10F3E0","10F420","10F420","10F420","10F430","10F430","10F430","10F440","10F440","10F440","10F450","10F450","10F450","10F470","10F470","10F470","10F490","10F490","10F490","10F4A0","10F4A0","10F4A0","10F4C0","10F4C0","10F4C0","10F4E0","10F4E0","10F4E0","10F500","10F500","10F500","10F510","10F510","10F510","10F520","10F520","10F520","10F540","10F540","10F540","10F560","10F560","10F560","10F590","10F590","10F590","10F570","10F570","10F570","10F5A0","10F5A0","10F5A0","10F5B0","10F5B0","10F5B0","10F5E0","10F5E0","10F5E0","10F5F0","10F5F0","10F5F0","10F600","10F600","10F600","10F610","10F610","10F610","10F5D0","10F5D0","10F5D0","10F630","10F630","10F630","10F640","10F640","10F640","10F650","10F650","10F650","10F690","10F690","10F690","10F6B0","10F6B0","10F6B0","10F6C0","10F6C0","10F6C0","10F6F0","10F6F0","10F6F0","10F700","10F700","10F700","10F270","10F270","10F270","10DB40","10DB40","10DB40","10E060","10E060","10E060"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.005589,-0.517338,0.181911,0.836205,2.328990,0.039530,1.037974,-5.240558,1.812201,0.665033,-4.954773,1.786521,0.783174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193530,0.044500,1.276537,2.353950,0.039117,0.992273,2.441300,0.035627,0.842434
1,0.002778,-0.003732,-0.529542,-0.062725,0.845953,2.329285,0.039624,1.038377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193246,0.044042,1.276755,2.353084,0.040359,0.994027,2.442379,0.035190,0.845378
2,0.005556,0.005446,-0.517284,0.184107,0.835758,2.329134,0.039489,1.037909,,,,-4.954885,1.784734,0.785361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193095,0.043771,1.276727,2.353968,0.039098,0.992334,2.441284,0.035665,0.842442
3,0.008333,0.007191,-0.509689,0.239653,0.826276,2.329030,0.039755,1.038001,,,,-4.954724,1.786604,0.783189,-4.958776,1.784525,0.546786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193300,0.044155,1.276803,2.353926,0.039087,0.992326,2.441264,0.035751,0.842400
4,0.011111,-0.004066,-0.528804,-0.081252,0.844836,2.329339,0.039282,1.038511,-5.240551,1.812225,0.665041,-4.954732,1.786614,0.783150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193626,0.044442,1.276716,2.352916,0.039163,0.994234,2.442462,0.035342,0.845325
5,0.013889,-0.004322,-0.530025,-0.047072,0.846664,2.328921,0.039789,1.037763,,,,-4.954911,1.784687,0.785324,-4.958824,1.784443,0.547860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193245,0.043826,1.276685,2.355511,0.038499,0.993737,2.441240,0.035698,0.842432
