Format Version,1.23,Take Name,team6_final_trial_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-04 10.35.53.916 AM,Total Frames in Take,18131,Total Exported Frames,18131,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,group6-radar,group6-radar,group6-radar,group6-radar,group6-radar,group6-radar,group6-radar,Unlabeled 1391,Unlabeled 1391,Unlabeled 1391,Unlabeled 1393,Unlabeled 1393,Unlabeled 1393,Unlabeled 1397,Unlabeled 1397,Unlabeled 1397,Unlabeled 1398,Unlabeled 1398,Unlabeled 1398,Unlabeled 1399,Unlabeled 1399,Unlabeled 1399,Unlabeled 1400,Unlabeled 1400,Unlabeled 1400,Unlabeled 1402,Unlabeled 1402,Unlabeled 1402,Unlabeled 1403,Unlabeled 1403,Unlabeled 1403,Unlabeled 1404,Unlabeled 1404,Unlabeled 1404,Unlabeled 1405,Unlabeled 1405,Unlabeled 1405,Unlabeled 1406,Unlabeled 1406,Unlabeled 1406,Unlabeled 1407,Unlabeled 1407,Unlabeled 1407,Unlabeled 1409,Unlabeled 1409,Unlabeled 1409,Unlabeled 1410,Unlabeled 1410,Unlabeled 1410,Unlabeled 1411,Unlabeled 1411,Unlabeled 1411,Unlabeled 1412,Unlabeled 1412,Unlabeled 1412,group6-radar:Marker1,group6-radar:Marker1,group6-radar:Marker1,group6-radar:Marker2,group6-radar:Marker2,group6-radar:Marker2,group6-radar:Marker3,group6-radar:Marker3,group6-radar:Marker3
,ID,"D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","105A70","105A70","105A70","105AF0","105AF0","105AF0","105B30","105B30","105B30","105B50","105B50","105B50","105B60","105B60","105B60","105B80","105B80","105B80","105BA0","105BA0","105BA0","105BD0","105BD0","105BD0","105B90","105B90","105B90","105BB0","105BB0","105BB0","105BF0","105BF0","105BF0","105BE0","105BE0","105BE0","105C20","105C20","105C20","105C30","105C30","105C30","105BC0","105BC0","105BC0","105C60","105C60","105C60","105990","105990","105990","25A08B93B6C511E97C158CA05684195","25A08B93B6C511E97C158CA05684195","25A08B93B6C511E97C158CA05684195","105930","105930","105930"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.025771,-0.006187,-0.011204,0.999586,1.796849,1.046834,4.002508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.890149,1.047088,4.032173,1.802759,1.048174,3.957119,1.698390,1.043908,4.019938
1,0.002778,0.027228,-0.006319,-0.012085,0.999536,1.796723,1.046661,4.002507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.889845,1.045460,4.032063,1.802647,1.048123,3.957124,1.698355,1.043991,4.019850
2,0.005556,0.027229,-0.006560,-0.012219,0.999533,1.796842,1.046616,4.002532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.889980,1.047006,4.032521,1.802501,1.048055,3.955519,1.698438,1.043872,4.019887
3,0.008333,0.023541,-0.004814,-0.012676,0.999631,1.796904,1.046282,4.002524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.889825,1.045388,4.032057,1.802684,1.045344,3.956312,1.698427,1.043895,4.019890
4,0.011111,0.026173,-0.004610,-0.011400,0.999582,1.796823,1.046705,4.002233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.890139,1.046953,4.032064,1.802591,1.048081,3.956826,1.698290,1.043899,4.019908
5,0.013889,0.029102,-0.005502,-0.012344,0.999485,1.796819,1.046609,4.002377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.889837,1.045275,4.032059,1.802671,1.048240,3.956990,1.698346,1.043869,4.019916
6,0.016667,0.027564,-0.006282,-0.012333,0.999524,1.796811,1.046723,4.002489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.889838,1.045429,4.032041,1.802732,1.048213,3.957106,1.698384,1.043978,4.019897
7,0.019444,0.032089,-0.004702,-0.012564,0.999395,1.796992,1.046707,4.002420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.889826,1.045337,4.032084,1.803436,1.049716,3.956963,1.698380,1.043854,4.019963
8,0.022222,0.031882,-0.004744,-0.012061,0.999408,1.797020,1.046788,4.002417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.889838,1.045526,4.032077,1.803512,1.049858,3.956960,1.698460,1.043890,4.019891
9,0.025000,0.025821,-0.006268,-0.012219,0.999572,1.796767,1.046618,4.002538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.889850,1.045406,4.032083,1.802685,1.047951,3.957150,1.697692,1.044812,4.017996
10,0.027778,0.032527,-0.004792,-0.012430,0.999382,1.797022,1.046744,4.002417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.889845,1.045372,4.032110,1.803384,1.049783,3.956951,1.698499,1.043892,4.019901
