Format Version,1.23,Take Name,team6_final_trial_004,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-04 10.42.21.667 AM,Total Frames in Take,8616,Total Exported Frames,8616,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,group6-radar,group6-radar,group6-radar,group6-radar,group6-radar,group6-radar,group6-radar,Unlabeled 1504,Unlabeled 1504,Unlabeled 1504,Unlabeled 1506,Unlabeled 1506,Unlabeled 1506,Unlabeled 1507,Unlabeled 1507,Unlabeled 1507,Unlabeled 1508,Unlabeled 1508,Unlabeled 1508,Unlabeled 1509,Unlabeled 1509,Unlabeled 1509,Unlabeled 1513,Unlabeled 1513,Unlabeled 1513,Unlabeled 1514,Unlabeled 1514,Unlabeled 1514,Unlabeled 1515,Unlabeled 1515,Unlabeled 1515,Unlabeled 1517,Unlabeled 1517,Unlabeled 1517,Unlabeled 1518,Unlabeled 1518,Unlabeled 1518,Unlabeled 1520,Unlabeled 1520,Unlabeled 1520,Unlabeled 1521,Unlabeled 1521,Unlabeled 1521,Unlabeled 1522,Unlabeled 1522,Unlabeled 1522,Unlabeled 1524,Unlabeled 1524,Unlabeled 1524,Unlabeled 1525,Unlabeled 1525,Unlabeled 1525,Unlabeled 1526,Unlabeled 1526,Unlabeled 1526,Unlabeled 1527,Unlabeled 1527,Unlabeled 1527,Unlabeled 1528,Unlabeled 1528,Unlabeled 1528,Unlabeled 1529,Unlabeled 1529,Unlabeled 1529,Unlabeled 1532,Unlabeled 1532,Unlabeled 1532,Unlabeled 1533,Unlabeled 1533,Unlabeled 1533,Unlabeled 1534,Unlabeled 1534,Unlabeled 1534,Unlabeled 1535,Unlabeled 1535,Unlabeled 1535,Unlabeled 1537,Unlabeled 1537,Unlabeled 1537,Unlabeled 1538,Unlabeled 1538,Unlabeled 1538,Unlabeled 1539,Unlabeled 1539,Unlabeled 1539,Unlabeled 1540,Unlabeled 1540,Unlabeled 1540,Unlabeled 1541,Unlabeled 1541,Unlabeled 1541,Unlabeled 1542,Unlabeled 1542,Unlabeled 1542,Unlabeled 1543,Unlabeled 1543,Unlabeled 1543,Unlabeled 1544,Unlabeled 1544,Unlabeled 1544,Unlabeled 1545,Unlabeled 1545,Unlabeled 1545,Unlabeled 1546,Unlabeled 1546,Unlabeled 1546,Unlabeled 1547,Unlabeled 1547,Unlabeled 1547,Unlabeled 1548,Unlabeled 1548,Unlabeled 1548,Unlabeled 1549,Unlabeled 1549,Unlabeled 1549,Unlabeled 1552,Unlabeled 1552,Unlabeled 1552,Unlabeled 1553,Unlabeled 1553,Unlabeled 1553,Unlabeled 1555,Unlabeled 1555,Unlabeled 1555,Unlabeled 1556,Unlabeled 1556,Unlabeled 1556,Unlabeled 1559,Unlabeled 1559,Unlabeled 1559,Unlabeled 1561,Unlabeled 1561,Unlabeled 1561,Unlabeled 1563,Unlabeled 1563,Unlabeled 1563,Unlabeled 1565,Unlabeled 1565,Unlabeled 1565,Unlabeled 1567,Unlabeled 1567,Unlabeled 1567,Unlabeled 1568,Unlabeled 1568,Unlabeled 1568,Unlabeled 1569,Unlabeled 1569,Unlabeled 1569,Unlabeled 1570,Unlabeled 1570,Unlabeled 1570,Unlabeled 1571,Unlabeled 1571,Unlabeled 1571,Unlabeled 1572,Unlabeled 1572,Unlabeled 1572,Unlabeled 1573,Unlabeled 1573,Unlabeled 1573,Unlabeled 1574,Unlabeled 1574,Unlabeled 1574,Unlabeled 1575,Unlabeled 1575,Unlabeled 1575,Unlabeled 1576,Unlabeled 1576,Unlabeled 1576,Unlabeled 1577,Unlabeled 1577,Unlabeled 1577,Unlabeled 1578,Unlabeled 1578,Unlabeled 1578,Unlabeled 1579,Unlabeled 1579,Unlabeled 1579,Unlabeled 1581,Unlabeled 1581,Unlabeled 1581,Unlabeled 1582,Unlabeled 1582,Unlabeled 1582,Unlabeled 1583,Unlabeled 1583,Unlabeled 1583,Unlabeled 1584,Unlabeled 1584,Unlabeled 1584,Unlabeled 1585,Unlabeled 1585,Unlabeled 1585,Unlabeled 1586,Unlabeled 1586,Unlabeled 1586,Unlabeled 1587,Unlabeled 1587,Unlabeled 1587,Unlabeled 1588,Unlabeled 1588,Unlabeled 1588,Unlabeled 1589,Unlabeled 1589,Unlabeled 1589,Unlabeled 1590,Unlabeled 1590,Unlabeled 1590,Unlabeled 1594,Unlabeled 1594,Unlabeled 1594,Unlabeled 1595,Unlabeled 1595,Unlabeled 1595,Unlabeled 1596,Unlabeled 1596,Unlabeled 1596,Unlabeled 1597,Unlabeled 1597,Unlabeled 1597,Unlabeled 1598,Unlabeled 1598,Unlabeled 1598,Unlabeled 1599,Unlabeled 1599,Unlabeled 1599,Unlabeled 1600,Unlabeled 1600,Unlabeled 1600,Unlabeled 1601,Unlabeled 1601,Unlabeled 1601,Unlabeled 1603,Unlabeled 1603,Unlabeled 1603,Unlabeled 1604,Unlabeled 1604,Unlabeled 1604,Unlabeled 1605,Unlabeled 1605,Unlabeled 1605,Unlabeled 1606,Unlabeled 1606,Unlabeled 1606,Unlabeled 1607,Unlabeled 1607,Unlabeled 1607,Unlabeled 1608,Unlabeled 1608,Unlabeled 1608,Unlabeled 1609,Unlabeled 1609,Unlabeled 1609,Unlabeled 1611,Unlabeled 1611,Unlabeled 1611,Unlabeled 1615,Unlabeled 1615,Unlabeled 1615,Unlabeled 1616,Unlabeled 1616,Unlabeled 1616,Unlabeled 1619,Unlabeled 1619,Unlabeled 1619,Unlabeled 1620,Unlabeled 1620,Unlabeled 1620,Unlabeled 1621,Unlabeled 1621,Unlabeled 1621,group6-radar:Marker1,group6-radar:Marker1,group6-radar:Marker1,group6-radar:Marker2,group6-radar:Marker2,group6-radar:Marker2,group6-radar:Marker3,group6-radar:Marker3,group6-radar:Marker3
,ID,"D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","108660","108660","108660","108680","108680","108680","108690","108690","108690","1086A0","1086A0","1086A0","1082E0","1082E0","1082E0","1086E0","1086E0","1086E0","108700","108700","108700","108710","108710","108710","108730","108730","108730","108740","108740","108740","108760","108760","108760","108770","108770","108770","108780","108780","108780","1087A0","1087A0","1087A0","1087B0","1087B0","1087B0","1087C0","1087C0","1087C0","1087D0","1087D0","1087D0","1087E0","1087E0","1087E0","1087F0","1087F0","1087F0","108820","108820","108820","108790","108790","108790","108830","108830","108830","108840","108840","108840","108860","108860","108860","108880","108880","108880","108890","108890","108890","1088A0","1088A0","1088A0","108870","108870","108870","1088B0","1088B0","1088B0","1088C0","1088C0","1088C0","1088D0","1088D0","1088D0","1088F0","1088F0","1088F0","108900","108900","108900","108910","108910","108910","108920","108920","108920","108930","108930","108930","108950","108950","108950","108970","108970","108970","108990","108990","108990","1089A0","1089A0","1089A0","1089D0","1089D0","1089D0","1089F0","1089F0","1089F0","108A10","108A10","108A10","108A30","108A30","108A30","108A50","108A50","108A50","108A60","108A60","108A60","108A70","108A70","108A70","108A00","108A00","108A00","108A90","108A90","108A90","108A80","108A80","108A80","108AA0","108AA0","108AA0","108AB0","108AB0","108AB0","108AD0","108AD0","108AD0","108AE0","108AE0","108AE0","106ED0","106ED0","106ED0","108AC0","108AC0","108AC0","108AF0","108AF0","108AF0","108B30","108B30","108B30","108B40","108B40","108B40","108B50","108B50","108B50","108B00","108B00","108B00","108B60","108B60","108B60","108B70","108B70","108B70","108B10","108B10","108B10","108B80","108B80","108B80","106DC0","106DC0","106DC0","106E70","106E70","106E70","108BC0","108BC0","108BC0","108BD0","108BD0","108BD0","108BF0","108BF0","108BF0","108BA0","108BA0","108BA0","108C00","108C00","108C00","108C10","108C10","108C10","108C20","108C20","108C20","108C30","108C30","108C30","108C40","108C40","108C40","108C50","108C50","108C50","108C60","108C60","108C60","108C80","108C80","108C80","108C90","108C90","108C90","108CA0","108CA0","108CA0","108CB0","108CB0","108CB0","108BE0","108BE0","108BE0","108D10","108D10","108D10","108D40","108D40","108D40","108D80","108D80","108D80","108DB0","108DB0","108DB0","108DC0","108DC0","108DC0","187B4697B6C611E97C158CA05684195","187B4697B6C611E97C158CA05684195","187B4697B6C611E97C158CA05684195","187B4698B6C611E97C158CA05684195","187B4698B6C611E97C158CA05684195","187B4698B6C611E97C158CA05684195","187B4699B6C611E97C158CA05684195","187B4699B6C611E97C158CA05684195","187B4699B6C611E97C158CA05684195"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,,,,,,,,-4.912530,1.163552,3.817491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
