Format Version,1.23,Take Name,group6_080119_left_reflector,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-01 02.43.03.750 PM,Total Frames in Take,1943,Total Exported Frames,1943,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,left_reflector,left_reflector,left_reflector,left_reflector,left_reflector,left_reflector,left_reflector,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,left_reflector:Marker1,left_reflector:Marker1,left_reflector:Marker1,left_reflector:Marker2,left_reflector:Marker2,left_reflector:Marker2,left_reflector:Marker3,left_reflector:Marker3,left_reflector:Marker3
,ID,"210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","CCE70","CCE70","CCE70","CCEF0","CCEF0","CCEF0","CCF00","CCF00","CCF00","CCF10","CCF10","CCF10","CC2B0","CC2B0","CC2B0","CCF20","CCF20","CCF20","CCF40","CCF40","CCF40","CCF50","CCF50","CCF50","CCF60","CCF60","CCF60","CCF70","CCF70","CCF70","CCF80","CCF80","CCF80","CCF90","CCF90","CCF90","CCFA0","CCFA0","CCFA0","CCFB0","CCFB0","CCFB0","CCFC0","CCFC0","CCFC0","CCFD0","CCFD0","CCFD0","CC3A0","CC3A0","CC3A0","CC4F0","CC4F0","CC4F0","CC530","CC530","CC530"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.003136,0.000387,0.001603,-0.999994,2.946110,-0.039032,-3.283180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708697,-0.043904,-3.252706,3.210217,-0.041763,-3.395329,2.920706,-0.031385,-3.201050
1,0.002778,-0.002846,0.002105,-0.002015,-0.999992,2.946923,-0.039058,-3.283321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708933,-0.046897,-3.253536,3.210312,-0.041277,-3.395356,2.921966,-0.029372,-3.201338
2,0.005556,-0.003840,0.001878,-0.000700,-0.999991,2.946461,-0.038907,-3.283196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708923,-0.046987,-3.253515,3.210179,-0.041543,-3.395295,2.920712,-0.031382,-3.201059
3,0.008333,-0.003360,0.000570,0.001385,-0.999993,2.945791,-0.038988,-3.283257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.705853,-0.044441,-3.253146,3.210164,-0.041463,-3.395375,2.920638,-0.031302,-3.201143
4,0.011111,-0.004977,0.001709,-0.000158,-0.999986,2.946605,-0.038764,-3.283082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708702,-0.043884,-3.252605,3.210171,-0.041452,-3.395280,2.922010,-0.029108,-3.201319
5,0.013889,-0.003773,0.000430,0.001580,-0.999992,2.946079,-0.038950,-3.283159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708632,-0.043736,-3.252666,3.210208,-0.041525,-3.395330,2.920652,-0.031359,-3.201011
6,0.016667,-0.003682,0.001100,-0.000096,-0.999993,2.946503,-0.038624,-3.282876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708684,-0.043832,-3.252597,3.210132,-0.041469,-3.395314,2.921939,-0.029515,-3.201400
7,0.019444,-0.003046,0.001392,-0.000688,-0.999994,2.946334,-0.039005,-3.282968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.704911,-0.043698,-3.253302,3.210137,-0.041728,-3.395259,2.921923,-0.029410,-3.201284
8,0.022222,-0.003671,0.001308,-0.000314,-0.999992,2.946391,-0.039000,-3.283337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708743,-0.044060,-3.252716,3.210440,-0.040967,-3.395064,2.920693,-0.031431,-3.201149
9,0.025000,-0.003677,0.000725,0.001142,-0.999992,2.946065,-0.039168,-3.283216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708662,-0.043831,-3.252717,3.210198,-0.041585,-3.395232,2.920691,-0.031543,-3.200996
10,0.027778,-0.000721,0.001129,-0.000975,-0.999999,2.946625,-0.038441,-3.282862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708777,-0.043950,-3.252692,3.210200,-0.041472,-3.395275,2.921953,-0.029339,-3.201256
11,0.030556,-0.003621,0.000877,0.000983,-0.999993,2.945734,-0.039276,-3.283299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.705887,-0.044537,-3.252980,3.210212,-0.041492,-3.395268,2.920758,-0.031423,-3.201072
12,0.033333,-0.003773,0.001736,-0.000659,-0.999991,2.946627,-0.038702,-3.283139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708752,-0.043872,-3.252725,3.210143,-0.041427,-3.395323,2.920707,-0.031384,-3.201114
13,0.036111,-0.000666,-0.000046,-0.000070,-1.000000,2.946777,-0.038912,-3.283013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708692,-0.043876,-3.252704,3.210200,-0.041534,-3.395277,2.920718,-0.031184,-3.201020
14,0.038889,-0.003633,0.000469,0.001547,-0.999992,2.946136,-0.038936,-3.283122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708781,-0.043951,-3.252627,3.210229,-0.041546,-3.395230,2.920664,-0.031437,-3.201040
15,0.041667,-0.001870,0.000736,0.001161,-0.999997,2.945796,-0.038733,-3.283010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708737,-0.043919,-3.252680,3.210209,-0.041653,-3.395306,2.920169,-0.030612,-3.201446
16,0.044444,-0.002801,0.000623,0.000953,-0.999995,2.946024,-0.039054,-3.283237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708743,-0.043904,-3.252683,3.210163,-0.041512,-3.395287,2.920651,-0.031240,-3.201161
