Format Version,1.23,Take Name,team6_final_trial_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-04 10.40.44.031 AM,Total Frames in Take,9988,Total Exported Frames,9988,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,group6-radar,group6-radar,group6-radar,group6-radar,group6-radar,group6-radar,group6-radar,Unlabeled 1464,Unlabeled 1464,Unlabeled 1464,Unlabeled 1466,Unlabeled 1466,Unlabeled 1466,Unlabeled 1468,Unlabeled 1468,Unlabeled 1468,Unlabeled 1469,Unlabeled 1469,Unlabeled 1469,Unlabeled 1475,Unlabeled 1475,Unlabeled 1475,Unlabeled 1482,Unlabeled 1482,Unlabeled 1482,Unlabeled 1483,Unlabeled 1483,Unlabeled 1483,Unlabeled 1484,Unlabeled 1484,Unlabeled 1484,Unlabeled 1485,Unlabeled 1485,Unlabeled 1485,Unlabeled 1489,Unlabeled 1489,Unlabeled 1489,Unlabeled 1490,Unlabeled 1490,Unlabeled 1490,Unlabeled 1491,Unlabeled 1491,Unlabeled 1491,Unlabeled 1492,Unlabeled 1492,Unlabeled 1492,Unlabeled 1493,Unlabeled 1493,Unlabeled 1493,Unlabeled 1494,Unlabeled 1494,Unlabeled 1494,Unlabeled 1495,Unlabeled 1495,Unlabeled 1495,Unlabeled 1497,Unlabeled 1497,Unlabeled 1497,Unlabeled 1498,Unlabeled 1498,Unlabeled 1498,Unlabeled 1499,Unlabeled 1499,Unlabeled 1499,Unlabeled 1501,Unlabeled 1501,Unlabeled 1501,Unlabeled 1502,Unlabeled 1502,Unlabeled 1502,Unlabeled 1503,Unlabeled 1503,Unlabeled 1503,group6-radar:Marker1,group6-radar:Marker1,group6-radar:Marker1,group6-radar:Marker2,group6-radar:Marker2,group6-radar:Marker2,group6-radar:Marker3,group6-radar:Marker3,group6-radar:Marker3
,ID,"D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","106C20","106C20","106C20","106C50","106C50","106C50","106C60","106C60","106C60","106CA0","106CA0","106CA0","106D00","106D00","106D00","106D70","106D70","106D70","106D80","106D80","106D80","106CD0","106CD0","106CD0","106D90","106D90","106D90","106DF0","106DF0","106DF0","106DE0","106DE0","106DE0","106E00","106E00","106E00","106E60","106E60","106E60","106E50","106E50","106E50","106E90","106E90","106E90","106EB0","106EB0","106EB0","106EE0","106EE0","106EE0","106EC0","106EC0","106EC0","106EF0","106EF0","106EF0","106F20","106F20","106F20","106F30","106F30","106F30","106F40","106F40","106F40","1064D0","1064D0","1064D0","D54D6866B6C511E97C158CA05684195","D54D6866B6C511E97C158CA05684195","D54D6866B6C511E97C158CA05684195","106B50","106B50","106B50"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.026138,-0.016594,-0.005644,0.999505,1.805047,1.046627,3.997885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897994,1.047182,4.029634,1.811899,1.048054,3.952632,1.705356,1.042962,4.010865
1,0.002778,0.019117,-0.016663,-0.004432,0.999669,1.805016,1.046857,3.997987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897974,1.047051,4.029617,1.811871,1.047662,3.952718,1.705675,1.043766,4.011393
2,0.005556,0.025391,-0.017144,-0.003508,0.999524,1.805068,1.046213,3.997654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897963,1.047102,4.029628,1.813013,1.047297,3.952485,1.705351,1.042949,4.010886
3,0.008333,0.024946,-0.017187,-0.003759,0.999534,1.805077,1.046292,3.997648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897967,1.047137,4.029611,1.813073,1.047324,3.952463,1.705726,1.042895,4.010903
4,0.011111,0.020554,-0.017637,-0.002288,0.999631,1.804950,1.046617,3.997727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897971,1.047136,4.029596,1.813096,1.047484,3.952466,1.705595,1.043062,4.010921
5,0.013889,0.019070,-0.017904,-0.001706,0.999656,1.804907,1.046775,3.997763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897936,1.047176,4.029633,1.813025,1.047308,3.952508,1.705550,1.043150,4.010912
