Format Version,1.23,Take Name,team6_final_trial_005,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-04 10.43.42.219 AM,Total Frames in Take,11292,Total Exported Frames,11292,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,group6-radar,group6-radar,group6-radar,group6-radar,group6-radar,group6-radar,group6-radar,Unlabeled 1625,Unlabeled 1625,Unlabeled 1625,Unlabeled 1626,Unlabeled 1626,Unlabeled 1626,Unlabeled 1629,Unlabeled 1629,Unlabeled 1629,Unlabeled 1630,Unlabeled 1630,Unlabeled 1630,Unlabeled 1633,Unlabeled 1633,Unlabeled 1633,Unlabeled 1634,Unlabeled 1634,Unlabeled 1634,Unlabeled 1635,Unlabeled 1635,Unlabeled 1635,Unlabeled 1636,Unlabeled 1636,Unlabeled 1636,Unlabeled 1637,Unlabeled 1637,Unlabeled 1637,Unlabeled 1638,Unlabeled 1638,Unlabeled 1638,Unlabeled 1639,Unlabeled 1639,Unlabeled 1639,Unlabeled 1640,Unlabeled 1640,Unlabeled 1640,Unlabeled 1641,Unlabeled 1641,Unlabeled 1641,Unlabeled 1642,Unlabeled 1642,Unlabeled 1642,Unlabeled 1643,Unlabeled 1643,Unlabeled 1643,Unlabeled 1644,Unlabeled 1644,Unlabeled 1644,Unlabeled 1645,Unlabeled 1645,Unlabeled 1645,Unlabeled 1646,Unlabeled 1646,Unlabeled 1646,Unlabeled 1647,Unlabeled 1647,Unlabeled 1647,Unlabeled 1648,Unlabeled 1648,Unlabeled 1648,Unlabeled 1649,Unlabeled 1649,Unlabeled 1649,Unlabeled 1650,Unlabeled 1650,Unlabeled 1650,Unlabeled 1651,Unlabeled 1651,Unlabeled 1651,Unlabeled 1652,Unlabeled 1652,Unlabeled 1652,Unlabeled 1655,Unlabeled 1655,Unlabeled 1655,Unlabeled 1656,Unlabeled 1656,Unlabeled 1656,Unlabeled 1657,Unlabeled 1657,Unlabeled 1657,Unlabeled 1658,Unlabeled 1658,Unlabeled 1658,Unlabeled 1659,Unlabeled 1659,Unlabeled 1659,Unlabeled 1660,Unlabeled 1660,Unlabeled 1660,Unlabeled 1661,Unlabeled 1661,Unlabeled 1661,Unlabeled 1662,Unlabeled 1662,Unlabeled 1662,Unlabeled 1664,Unlabeled 1664,Unlabeled 1664,Unlabeled 1665,Unlabeled 1665,Unlabeled 1665,Unlabeled 1666,Unlabeled 1666,Unlabeled 1666,Unlabeled 1667,Unlabeled 1667,Unlabeled 1667,Unlabeled 1668,Unlabeled 1668,Unlabeled 1668,Unlabeled 1669,Unlabeled 1669,Unlabeled 1669,Unlabeled 1670,Unlabeled 1670,Unlabeled 1670,Unlabeled 1671,Unlabeled 1671,Unlabeled 1671,group6-radar:Marker1,group6-radar:Marker1,group6-radar:Marker1,group6-radar:Marker2,group6-radar:Marker2,group6-radar:Marker2,group6-radar:Marker3,group6-radar:Marker3,group6-radar:Marker3
,ID,"D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","D20B02DBB6C411E97C158CA05684195","109610","109610","109610","1095E0","1095E0","1095E0","109660","109660","109660","109640","109640","109640","1096C0","1096C0","1096C0","1096E0","1096E0","1096E0","109710","109710","109710","109720","109720","109720","109750","109750","109750","109730","109730","109730","109760","109760","109760","109790","109790","109790","109780","109780","109780","109770","109770","109770","1097A0","1097A0","1097A0","1097C0","1097C0","1097C0","1097E0","1097E0","1097E0","1097F0","1097F0","1097F0","1097D0","1097D0","1097D0","109800","109800","109800","109830","109830","109830","109840","109840","109840","109850","109850","109850","109860","109860","109860","109890","109890","109890","1098A0","1098A0","1098A0","1098B0","1098B0","1098B0","109810","109810","109810","1098D0","1098D0","1098D0","1098C0","1098C0","1098C0","1098E0","1098E0","1098E0","109900","109900","109900","109920","109920","109920","109930","109930","109930","109940","109940","109940","109950","109950","109950","109960","109960","109960","1098F0","1098F0","1098F0","109970","109970","109970","109820","109820","109820","109530","109530","109530","1095D0","1095D0","1095D0","109430","109430","109430"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.024833,0.006266,0.001425,-0.999671,1.779601,1.046488,4.035193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873210,1.050744,4.065288,1.785850,1.046876,3.989607,1.680825,1.043413,4.050872
1,0.002778,-0.027041,0.005452,0.001136,-0.999619,1.779631,1.046175,4.035140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873582,1.049359,4.064866,1.785835,1.046875,3.989640,1.680544,1.042188,4.050750
2,0.005556,-0.022776,0.005141,0.004587,-0.999717,1.779550,1.046674,4.035212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873567,1.049233,4.064831,1.785868,1.046945,3.989626,1.680545,1.044777,4.051364
3,0.008333,-0.021548,0.006712,-0.001285,-0.999745,1.779388,1.046846,4.035490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873608,1.049356,4.064853,1.785866,1.046991,3.989622,1.680164,1.042713,4.051040
4,0.011111,-0.025645,0.006119,0.000005,-0.999652,1.779555,1.046296,4.035216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873244,1.050570,4.065277,1.785855,1.046891,3.989662,1.680525,1.042118,4.050739
5,0.013889,-0.031551,0.005995,0.000441,-0.999484,1.779639,1.046771,4.035364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873242,1.050705,4.065331,1.785819,1.046876,3.989649,1.680200,1.042734,4.051015
6,0.016667,-0.028655,0.005334,0.000949,-0.999575,1.779585,1.046159,4.035106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.871782,1.048326,4.064792,1.785854,1.046893,3.989675,1.680496,1.042085,4.050734
7,0.019444,-0.037790,0.004855,0.001250,-0.999273,1.779774,1.046475,4.035209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873152,1.047246,4.064320,1.785560,1.049020,3.989855,1.680462,1.042232,4.050759
8,0.022222,-0.023747,0.005158,0.005618,-0.999689,1.779429,1.046787,4.035243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.871813,1.048312,4.064796,1.785823,1.047208,3.989801,1.680477,1.044648,4.051377
9,0.025000,-0.027331,0.006427,-0.000444,-0.999606,1.779546,1.046341,4.035261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873183,1.050748,4.065372,1.785863,1.046864,3.989662,1.680491,1.042032,4.050710
10,0.027778,-0.033060,0.004118,0.002686,-0.999441,1.779896,1.045889,4.035012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873421,1.047686,4.064487,1.785849,1.046942,3.989645,1.680500,1.042121,4.050771
11,0.030556,-0.025056,0.005788,0.004052,-0.999661,1.779443,1.046403,4.035314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.871755,1.048391,4.064828,1.785833,1.046897,3.989640,1.680359,1.043158,4.050959
12,0.033333,-0.030216,0.004518,0.001942,-0.999531,1.779750,1.046030,4.035028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873448,1.047665,4.064548,1.785832,1.046874,3.989641,1.680467,1.041950,4.050912
13,0.036111,-0.020915,0.005955,0.003400,-0.999758,1.779442,1.046759,4.035335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873215,1.050765,4.065354,1.785863,1.046813,3.989617,1.680472,1.044655,4.051353
14,0.038889,-0.021538,0.005619,0.002738,-0.999749,1.779303,1.046736,4.035288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873223,1.050651,4.065318,1.785157,1.047787,3.989884,1.680185,1.042814,4.051055
